 0             11           3l
 0             12           2l
 1             11            1 
 1             12            0 
 2             11            1 
 2             12            0 
 3             10            4 
 3             11            1 
 3             12            0 
 4             11            1 
 4             12            0 
 5             11            1 
 5             12            0 
 6             11            1 
 6             12            0 
 7             10            11 
 7             11            1 
 7             12            0 
 8             11            1 
 8             12            0 
 9             6             16 
 9             8            3l
 9             9            2l
 9             10           2l
 9             11            1 
 9             12            0 
 10            6             16 
 10            8             1 
 10            9             0 
 10            10            0 
 10            11            1 
 10            12            0 
 11            6             16 
 11            8             1 
 11            9             0 
 11            10            0 
 11            11            1 
 11            12            0 
 12            6             16 
 12            8            3r
 12            9            2r
 12            10           2r
 12            11            1 
 12            12            0 
 13            3             16 
 13            5            3l
 13            6            2l
 13            7            2l
 13            8            2l
 13            9            2l
 13            10           2l
 13            11            1 
 13            12            0 
 14            3             16 
 14            5             1 
 14            6             0 
 14            7             0 
 14            8             0 
 14            9             0 
 14            10            0 
 14            11            1 
 14            12            0 
 15            3             16 
 15            4             4 
 15            5             1 
 15            6             0 
 15            7             0 
 15            8             0 
 15            9             0 
 15            10            0 
 15            11            1 
 15            12            0 
 16            3             16 
 16            5             1 
 16            6             0 
 16            7             0 
 16            8             0 
 16            9             0 
 16            10            0 
 16            11            1 
 16            12            0 
 17            3             16 
 17            5            3r
 17            6            2r
 17            7            2r
 17            8            2r
 17            9            2r
 17            10           2r
 17            11           3r
 17            12           2r
 19            7             10 
 19            8             10 
 20            4             16 
 20            8             10 
 21            4             16 
 21            8             10 
 22            4             16 
 22            8             10 
 23            7             10 
 23            8             10 
 26            0             16 
 26            1             16 
 26            2             10 
 26            10            10 
 27            0             16 
 27            1             16 
 27            2             10 
 27            10            10 
 28            7             17 
 29            7             17 
 30            0             16 
 30            1             16 
 30            2             10 
 30            7             17 
 31            0             16 
 31            1             16 
 31            2             10 
 31            10            10 
 32            10            10 
 33            7             17 
 34            7             17 
 35            2             10 
 35            7             17 
 36            2             10 
 36            10            10 
 37            2             10 
 37            10            10 
 38            2             10 
 39            2             10 
 40            2             10 
 40            8            3l
 40            9            2l
 40            10           2l
 40            11           2l
 40            12           2l
 41            2             10 
 41            8             1 
 41            9             0 
 41            10            0 
 41            11            0 
 41            12            0 
 42            2             10 
 42            7             4 
 42            8             1 
 42            9             0 
 42            10            0 
 42            11            0 
 42            12            0 
 43            2             10 
 43            8             1 
 43            9             0 
 43            10            0 
 43            11            0 
 43            12            0 
 44            2             10 
 44            8             1 
 44            9             0 
 44            10            0 
 44            11            0 
 44            12            0 
 45            2             10 
 45            8             1 
 45            9             0 
 45            10            0 
 45            11            0 
 45            12            0 
 46            8            3r
 46            9            2r
 46            10           2r
 46            11           2r
 46            12           2r
 47            5             15 
 47            10           3l
 47            11           2l
 47            12           2l
 48            4             15 
 48            5             15 
 48            10            1 
 48            11            0 
 48            12            0 
 49            2             16 
 49            5             14 
 49            10            1 
 49            11            0 
 49            12            0 
 50            2             16 
 50            5             14 
 50            10            1 
 50            11            0 
 50            12            0 
 51            2             16 
 51            5             14 
 51            9             11 
 51            10            1 
 51            11            0 
 51            12            0 
 52            2             16 
 52            5             14 
 52            10            1 
 52            11            0 
 52            12            0 
 53            2             16 
 53            4             12 
 53            5             14 
 53            10            1 
 53            11            0 
 53            12            0 
 54            2             16 
 54            5             14 
 54            10            1 
 54            11            0 
 54            12            0 
 55            2             16 
 55            5             14 
 55            10            1 
 55            11            0 
 55            12            0 
 56            2             16 
 56            5             14 
 56            9             11 
 56            10            1 
 56            11            0 
 56            12            0 
 57            2             16 
 57            5             14 
 57            10            1 
 57            11            0 
 57            12            0 
 58            2             16 
 58            5             14 
 58            10            1 
 58            11            0 
 58            12            0 
 59            2             16 
 59            5             14 
 59            10            1 
 59            11            0 
 59            12            0 
 60            4             15 
 60            5             15 
 60            10            1 
 60            11            0 
 60            12            0 
 61            5             15 
 61            9            3l
 61            10           3r
 61            11           2r
 61            12           2r
 66            5             15 
 66            6             14 
 66            7             14 
 66            8             14 
 66            9             14 
 66            10            14 
 67            6             15 
 67            7             14 
 67            8             14 
 67            9             14 
 67            10            14 
 68            7             15 
 68            8             14 
 68            9             14 
 68            10            14 
 69            8             15 
 69            9             14 
 69            10            14 
 70            9             15 
 70            10            14 
 71            10            15 
 72            2             10 
 72            3             10 
 73            1             16 
 73            2             16 
 73            4             10 
 74            1             16 
 74            2             16 
 74            3             13 
 74            4             10 
 74            11           3l
 74            12           2l
 75            1             16 
 75            2             16 
 75            4             10 
 75            11            1 
 75            12            0 
 76            1             16 
 76            2             16 
 76            4             10 
 76            11           3r
 76            12           2r
 77            1             16 
 77            2             16 
 77            4             10 
 77            8             16 
 77            12            22 
 78            1             16 
 78            2             16 
 78            4             10 
 78            8             16 
 78            12            22 
 79            1             16 
 79            2             16 
 79            4             10 
 79            9            3l
 79            10           2l
 79            11           2l
 79            12           2l
 80            1             16 
 80            2             16 
 80            4             10 
 80            9             1 
 80            10            0 
 80            11            0 
 80            12            0 
 81            4             10 
 81            9            3r
 81            10           2r
 81            11           2r
 81            12           2r
 82            3             10 
 82            4             10 
 82            6             16 
 82            12            22 
 83            4             10 
 83            6             16 
 83            12            22 
 84            7            3l
 84            8            2l
 84            9            2l
 84            10           2l
 84            11           2l
 84            12           2l
 85            7             1 
 85            8             0 
 85            9             0 
 85            10            0 
 85            11            0 
 85            12            0 
 86            7            3r
 86            8            2r
 86            9            2r
 86            10           2r
 86            11           2r
 86            12           2r
 87            12            22 
 88            12            22 
 89            8             16 
 89            11           3l
 89            12           2l
 90            11            1 
 90            12            0 
 91            8             16 
 91            11            1 
 91            12            0 
 92            11            1 
 92            12            0 
 93            4             10 
 93            5             10 
 93            8             16 
 93            11            1 
 93            12            0 
 94            2             17 
 94            5             10 
 94            11            1 
 94            12            0 
 95            1             17 
 95            2             17 
 95            5             10 
 95            9            3l
 95            10           2l
 95            11            1 
 95            12            0 
 96            1             17 
 96            2             17 
 96            4             13 
 96            5             10 
 96            9             1 
 96            10            0 
 96            11            1 
 96            12            0 
 97            1             17 
 97            2             17 
 97            5             10 
 97            9             1 
 97            10            0 
 97            11            1 
 97            12            0 
 98            1             17 
 98            2             17 
 98            5             10 
 98            9             1 
 98            10            0 
 98            11            1 
 98            12            0 
 99            2             17 
 99            5             10 
 99            9             1 
 99            10            0 
 99            11            1 
 99            12            0 
 100           4             10 
 100           5             10 
 100           9             1 
 100           10            0 
 100           11            1 
 100           12            0 
 101           9             1 
 101           10            0 
 101           11            1 
 101           12            0 
 102           7             15 
 102           8             15 
 102           9             1 
 102           10            0 
 102           11            1 
 102           12            0 
 103           6             15 
 103           7             15 
 103           8             15 
 103           9             1 
 103           10            0 
 103           11            1 
 103           12            0 
 104           6             15 
 104           7             15 
 104           8             15 
 104           9             1 
 104           10            0 
 104           11            1 
 104           12            0 
 105           7             15 
 105           8             15 
 105           9             1 
 105           10            0 
 105           11            1 
 105           12            0 
 106           9             1 
 106           10            0 
 106           11            1 
 106           12            0 
 107           4             10 
 107           5             10 
 107           9             1 
 107           10            0 
 107           11            1 
 107           12            0 
 108           2             17 
 108           5             10 
 108           9             1 
 108           10            0 
 108           11            1 
 108           12            0 
 109           1             17 
 109           2             17 
 109           5             10 
 109           8             4 
 109           9             1 
 109           10            0 
 109           11            1 
 109           12            0 
 110           1             17 
 110           2             17 
 110           5             10 
 110           9             1 
 110           10            0 
 110           11            1 
 110           12            0 
 111           1             17 
 111           2             17 
 111           5             10 
 111           9             1 
 111           10            0 
 111           11            1 
 111           12            0 
 112           1             17 
 112           2             17 
 112           4             13 
 112           5             10 
 112           9            3r
 112           10           2r
 112           11            1 
