 0             0             15 
 0             1             15 
 0             2             15 
 0             3             15 
 0             4             15 
 0             5             15 
 0             6             15 
 0             7             15 
 0             8             15 
 0             9             15 
 0             10            15 
 0             11            15 
 0             12            15 
 1             0             15 
 1             12            15 
 2             0             15 
 2             12            15 
 3             0             15 
 3             12            15 
 4             0             15 
 4             12            15 
 5             0             15 
 5             12            15 
 6             0             15 
 6             12            15 
 7             0             15 
 7             12            15 
 8             0             15 
 8             12            15 
 9             0             15 
 9             12            15 
 10            0             15 
 10            12            15 
 11            0             15 
 11            12            15 
 12            0             15 
 12            12            15 
 13            0             15 
 13            12            15 
 14            0             15 
 14            12            15 
 15            0             15 
 15            12            15 
 16            0             15 
 16            12            15 
 17            0             15 
 17            12            15 
 18            0             15 
 18            12            15 
 19            0             15 
 19            1             15 
 19            2             15 
 19            3             15 
 19            4             15 
 19            5             15 
 19            6             15 
 19            7             15 
 19            8             15 
 19            9             15 
 19            10            15 
 19            11            15 
 19            12            15 
