 0             5             5 
 0             11           3l
 0             12           2l
 1             7             6 
 1             8             6 
 1             9             6 
 1             10            6 
 1             11            1 
 1             12            0 
 2             11            1 
 2             12            0 
 3             1             5 
 3             10            4 
 3             11            1 
 3             12            0 
 4             3             6 
 4             4             6 
 4             5             6 
 4             6             6 
 4             7             6 
 4             8             6 
 4             9             6 
 4             10            6 
 4             11            1 
 4             12            0 
 5             11            1 
 5             12            0 
 6             8            3l
 6             9            2l
 6             10           2l
 6             11            1 
 6             12            0 
 7             2             9 
 7             8             1 
 7             9             0 
 7             10            0 
 7             11            1 
 7             12            0 
 8             8             1 
 8             9             0 
 8             10            0 
 8             11            1 
 8             12            0 
 9             8            3r
 9             9            2r
 9             10           2r
 9             11            1 
 9             12            0 
 10            6             16 
 10            10            22 
 10            11            1 
 10            12            0 
 11            5             16 
 11            10            22 
 11            11            1 
 11            12            0 
 12            1             10 
 12            2             10 
 12            5             16 
 12            10            22 
 12            11            1 
 12            12            0 
 13            0             16 
 13            2             10 
 13            6             16 
 13            10            22 
 13            11            1 
 13            12            0 
 14            0             16 
 14            2             10 
 14            4             8 
 14            8            3l
 14            9            2l
 14            10           2l
 14            11            1 
 14            12            0 
 15            0             16 
 15            1             4 
 15            2             10 
 15            6             7 
 15            7             7 
 15            8             1 
 15            9             0 
 15            10            0 
 15            11            1 
 15            12            0 
 16            0             16 
 16            2             10 
 16            7             4 
 16            8             1 
 16            9             0 
 16            10            0 
 16            11            1 
 16            12            0 
 17            0             16 
 17            2             10 
 17            8            3r
 17            9            2r
 17            10           2r
 17            11            1 
 17            12            0 
 18            0             16 
 18            2             10 
 18            6             16 
 18            10            22 
 18            11            1 
 18            12            0 
 19            0             16 
 19            2             10 
 19            5             16 
 19            10            22 
 19            11            1 
 19            12            0 
 20            0             16 
 20            2             10 
 20            5             16 
 20            10            22 
 20            11            1 
 20            12            0 
 21            1             10 
 21            2             10 
 21            6             16 
 21            10            22 
 21            11            1 
 21            12            0 
 22            2             10 
 22            8            3l
 22            9            2l
 22            10           2l
 22            11            1 
 22            12            0 
 23            3             10 
 23            8             1 
 23            9             0 
 23            10            0 
 23            11            1 
 23            12            0 
 24            4             10 
 24            8             1 
 24            9             0 
 24            10            0 
 24            11            1 
 24            12            0 
 25            8            3r
 25            9            2r
 25            10           2r
 25            11            1 
 25            12            0 
 26            11            1 
 26            12            0 
 27            0             9 
 27            5             10 
 27            11            1 
 27            12            0 
 28            5             10 
 28            10            4 
 28            11            1 
 28            12            0 
 29            6             8 
 29            11            1 
 29            12            0 
 30            3             15 
 30            4             15 
 30            8             7 
 30            9             7 
 30            10            7 
 30            11            1 
 30            12            0 
 31            2             16 
 31            4             14 
 31            11            1 
 31            12            0 
 32            2             16 
 32            4             14 
 32            11            1 
 32            12            0 
 33            2             16 
 33            3             12 
 33            4             14 
 33            9            3l
 33            10           2l
 33            11            1 
 33            12            0 
 34            2             16 
 34            4             14 
 34            9             1 
 34            10            0 
 34            11            1 
 34            12            0 
 35            2             16 
 35            3             12 
 35            4             14 
 35            9             1 
 35            10            0 
 35            11            1 
 35            12            0 
 36            2             16 
 36            4             14 
 36            9            3r
 36            10           2r
 36            11            1 
 36            12            0 
 37            2             16 
 37            4             14 
 37            11            1 
 37            12            0 
 38            3             15 
 38            4             15 
 38            11            1 
 38            12            0 
 39            11           3r
 39            12           2r
 41            9             15 
 41            10            15 
 41            11            15 
 41            12            15 
 42            9             15 
 42            10            14 
 42            11            14 
 42            12            15 
 43            9             15 
 43            10            14 
 43            11            14 
 43            12            15 
 44            9             15 
 44            10            14 
 44            11            14 
 44            12            15 
 45            9             15 
 45            10            15 
 45            11            15 
 45            12            15 
 46            12            15 
 47            12            15 
 48            11            13 
 48            12            15 
 49            9             15 
 49            12            15 
 50            9             15 
 50            12            15 
 51            9             15 
 51            10            16 
 51            11            16 
 51            12            15 
 52            8             15 
 52            9             15 
 52            10            16 
 52            11            16 
 52            12            15 
 53            7             15 
 53            8             15 
 53            9             15 
 53            10            15 
 53            11            15 
 53            12            15 
 54            3             16 
 55            3             16 
 56            6            3l
 56            7            2l
 56            8            2l
 56            9            2l
 56            10           2l
 56            11           2l
 56            12           2l
 57            6             1 
 57            7             0 
 57            8             0 
 57            9             0 
 57            10            0 
 57            11            0 
 57            12            0 
 58            6             1 
 58            7             0 
 58            8             0 
 58            9             0 
 58            10            0 
 58            11            0 
 58            12            0 
 59            6             1 
 59            7             0 
 59            8             0 
 59            9             0 
 59            10            0 
 59            11            0 
 59            12            0 
 60            6             1 
 60            7             0 
 60            8             0 
 60            9             0 
 60            10            0 
 60            11            0 
 60            12            0 
 61            6             1 
 61            7             0 
 61            8             0 
 61            9             0 
 61            10            0 
 61            11            0 
 61            12            0 
 62            6             1 
 62            7             0 
 62            8             0 
 62            9             0 
 62            10            0 
 62            11            0 
 62            12            0 
 63            6             1 
 63            7             0 
 63            8             0 
 63            9             0 
 63            10            0 
 63            11            0 
 63            12            0 
 64            6            3r
 64            7            2r
 64            8            2r
 64            9            2r
 64            10           2r
 64            11           2r
 64            12           2r
 65            1             16 
 65            3             10 
 65            6             10 
 65            9             16 
 65            10            16 
 65            11            10 
 66            3             10 
 66            6             10 
 66            9             16 
 66            10            16 
 66            11            10 
 67            1             16 
 67            2             11 
 67            3             10 
 67            6             10 
 67            7             10 
 67            8             10 
 67            11            10 
 68            3             10 
 68            8             10 
 68            10            11 
 68            11            10 
 69            1             16 
 69            3             10 
 69            8             10 
 69            11            10 
 70            3             10 
 70            4             10 
